player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,cluster_label
Jarrett Culver,MIN,22.0,198.12,88.45044,Texas Tech,USA,2019,1,6,34,5.3,3.1,0.7,-10.7,0.059,0.132,0.179,0.476,0.079,2020-21,0
Javonte Green,CHI,27.0,193.04,92.98636,Radford,USA,Undrafted,Undrafted,Undrafted,41,3.6,1.7,0.4,1.8,0.0559999999999999,0.1,0.122,0.61,0.048,2020-21,0
Jaxson Hayes,NOP,21.0,210.82,99.79024,Texas-Austin,USA,2019,1,8,60,7.5,4.3,0.6,-0.9,0.087,0.161,0.156,0.675,0.057,2020-21,2
Jaylen Brown,BOS,24.0,198.12,101.151016,California,USA,2016,1,3,58,24.7,6.0,3.4,1.8,0.035,0.136,0.29,0.586,0.162,2020-21,1
Jaylen Nowell,MIN,21.0,193.04,91.171992,Washington,USA,2019,2,43,42,9.0,2.3,1.5,-6.6,0.022,0.098,0.206,0.528,0.13,2020-21,3
Jeff Green,BKN,34.0,203.2,106.59412,Georgetown,USA,2007,1,5,68,11.0,3.9,1.6,3.3,0.019,0.1159999999999999,0.154,0.624,0.08,2020-21,0
Jeff Teague,MIL,33.0,190.5,88.45044,Wake Forest,USA,2009,1,19,55,6.7,1.6,2.4,2.8,0.016,0.074,0.174,0.562,0.182,2020-21,3
Jerami Grant,DET,27.0,203.2,95.25432,Syracuse,USA,2014,2,39,54,22.3,4.6,2.8,-3.2,0.018,0.118,0.278,0.556,0.145,2020-21,3
Jeremy Lamb,IND,29.0,195.58,81.64656,Connecticut,USA,2012,1,12,36,10.1,3.6,1.5,-0.3,0.032,0.1369999999999999,0.18,0.5870000000000001,0.094,2020-21,0
Jevon Carter,PHX,25.0,185.42,90.7184,West Virginia,USA,2018,2,32,60,4.1,1.5,1.2,3.3,0.022,0.107,0.146,0.5479999999999999,0.136,2020-21,0
Jimmy Butler,MIA,31.0,200.66,104.32616,Marquette,USA,2011,1,30,52,21.5,6.9,7.1,5.2,0.0559999999999999,0.153,0.259,0.607,0.345,2020-21,1
Joe Harris,BKN,29.0,198.12,99.79024,Virginia,USA,2014,2,33,69,14.1,3.6,1.9,6.9,0.021,0.09,0.157,0.6629999999999999,0.081,2020-21,0
Joe Ingles,UTA,33.0,203.2,99.79024,International,Australia,Undrafted,Undrafted,Undrafted,67,12.1,3.6,4.7,11.8,0.0139999999999999,0.108,0.162,0.672,0.238,2020-21,3
Joel Embiid,PHI,27.0,213.36,127.00576,Kansas,Cameroon,2014,1,3,51,28.5,10.6,2.8,12.0,0.078,0.254,0.352,0.636,0.156,2020-21,1
John Collins,ATL,23.0,205.74,106.59412,Wake Forest,USA,2017,1,19,63,17.6,7.4,1.2,4.3,0.064,0.183,0.214,0.645,0.065,2020-21,2
John Konchar,MEM,25.0,195.58,95.25432,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,43,4.3,3.0,1.1,2.1,0.057,0.161,0.124,0.608,0.111,2020-21,0
John Wall,HOU,30.0,190.5,95.25432,Kentucky,USA,2010,1,1,40,20.6,3.2,6.9,-5.7,0.012,0.084,0.316,0.503,0.365,2020-21,1
Jonas Valanciunas,MEM,29.0,210.82,120.20188,International,Lithuania,2011,1,5,62,17.1,12.5,1.8,3.8,0.134,0.289,0.217,0.636,0.0969999999999999,2020-21,2
Immanuel Quickley,NYK,22.0,190.5,86.18248,Kentucky,USA,2020,1,25,64,11.4,2.1,2.0,7.1,0.02,0.086,0.246,0.557,0.1639999999999999,2020-21,3
Isaac Okoro,CLE,20.0,195.58,102.0582,Auburn,USA,2020,1,5,67,9.6,3.1,1.9,-8.7,0.031,0.066,0.142,0.514,0.086,2020-21,0
Isaiah Hartenstein,CLE,23.0,213.36,113.398,International,Germany,2017,2,43,46,5.1,3.9,1.2,2.1,0.114,0.207,0.187,0.583,0.147,2020-21,2
Isaiah Joe,PHI,21.0,193.04,74.84268,Arkansas,USA,2020,2,49,41,3.7,0.9,0.5,1.8,0.0139999999999999,0.083,0.163,0.5329999999999999,0.072,2020-21,0
Isaiah Roby,OKC,23.0,203.2,104.32616,Nebraska-Lincoln,USA,2019,2,45,61,8.7,5.6,1.8,-14.1,0.057,0.1689999999999999,0.171,0.555,0.118,2020-21,2
Isaiah Stewart,DET,20.0,203.2,113.398,Washington,USA,2020,1,16,68,7.9,6.7,0.9,-2.0,0.105,0.193,0.15,0.597,0.064,2020-21,2
Ish Smith,WAS,32.0,182.88,79.3786,Wake Forest,USA,Undrafted,Undrafted,Undrafted,44,6.7,3.4,3.9,2.3,0.022,0.131,0.155,0.473,0.242,2020-21,3
Ivica Zubac,LAC,24.0,213.36,108.86208,International,Croatia,2016,2,32,72,9.0,7.2,1.3,5.0,0.121,0.2,0.147,0.693,0.079,2020-21,2
JJ Redick,DAL,37.0,190.5,90.7184,Duke,USA,2006,1,11,44,7.4,1.5,1.2,-1.3,0.006,0.0819999999999999,0.184,0.564,0.098,2020-21,0
Ja Morant,MEM,21.0,190.5,78.92500799999999,Murray State,USA,2019,1,2,63,19.1,4.0,7.4,2.6,0.027,0.091,0.267,0.537,0.321,2020-21,1
JaKarr Sampson,IND,28.0,200.66,97.068688,St. John's,USA,Undrafted,Undrafted,Undrafted,29,4.6,2.7,0.1,1.1,0.08,0.145,0.177,0.5329999999999999,0.017,2020-21,0
JaMychal Green,DEN,31.0,203.2,102.965384,Alabama,USA,Undrafted,Undrafted,Undrafted,58,8.1,4.8,0.9,4.1,0.072,0.177,0.172,0.59,0.07,2020-21,2
JaVale McGee,DEN,33.0,213.36,122.46984,Nevada-Reno,USA,2008,1,18,46,7.3,5.2,0.8,-6.1,0.105,0.231,0.228,0.541,0.098,2020-21,2
James Wiseman,GSW,20.0,213.36,108.86208,Memphis,USA,2020,1,2,39,11.5,5.8,0.7,-8.8,0.063,0.19,0.231,0.552,0.05,2020-21,2
Jaden McDaniels,MIN,20.0,205.74,83.91452,Washington,USA,2020,1,28,63,6.8,3.7,1.1,-3.4,0.032,0.118,0.118,0.552,0.064,2020-21,0
Jae'Sean Tate,HOU,25.0,193.04,104.32616,Ohio State,USA,Undrafted,Undrafted,Undrafted,70,11.3,5.3,2.5,-3.8,0.06,0.118,0.161,0.5760000000000001,0.127,2020-21,3
Jahlil Okafor,DET,25.0,208.28,122.46984,Duke,USA,2015,1,3,27,5.4,2.4,0.5,-10.2,0.07,0.119,0.17,0.644,0.066,2020-21,0
Jake Layman,MIN,27.0,203.2,94.800728,Maryland,USA,2016,2,47,45,5.1,1.5,0.6,-5.8,0.019,0.083,0.147,0.5770000000000001,0.067,2020-21,0
Jakob Poeltl,SAS,25.0,215.9,111.13004,Utah,Austria,2016,1,9,69,8.6,7.9,1.9,3.2,0.114,0.173,0.13,0.612,0.096,2020-21,2
Jalen Brunson,DAL,24.0,185.42,86.18248,Villanova,USA,2018,2,33,68,12.6,3.4,3.5,4.9,0.016,0.1169999999999999,0.196,0.618,0.215,2020-21,3
Jalen McDaniels,CHA,23.0,205.74,92.98636,San Diego State,USA,2019,2,52,47,7.4,3.6,1.1,-9.4,0.047,0.138,0.1689999999999999,0.5539999999999999,0.09,2020-21,0
Jalen Smith,PHX,21.0,208.28,97.52228,Maryland,USA,2020,1,10,27,2.0,1.4,0.1,-4.4,0.044,0.174,0.161,0.499,0.037,2020-21,0
Jamal Murray,DEN,24.0,190.5,97.52228,Kentucky,Canada,2016,1,7,48,21.2,4.0,4.8,8.0,0.023,0.095,0.244,0.5920000000000001,0.1969999999999999,2020-21,1
James Ennis III,ORL,30.0,198.12,97.52228,California State-Long Beach,USA,2013,2,50,41,8.4,4.0,1.5,-3.8,0.042,0.123,0.1369999999999999,0.613,0.087,2020-21,0
James Harden,BKN,31.0,195.58,99.79024,Arizona State,USA,2009,1,3,44,24.6,7.9,10.8,2.9,0.023,0.191,0.283,0.618,0.442,2020-21,1
James Johnson,NOP,34.0,200.66,108.86208,Wake Forest,USA,2009,1,16,51,7.2,3.5,1.9,-5.0,0.0289999999999999,0.131,0.166,0.51,0.134,2020-21,0
Jae Crowder,PHX,30.0,198.12,106.59412,Marquette,USA,2012,2,34,60,10.1,4.7,2.1,6.3,0.02,0.146,0.152,0.574,0.102,2020-21,0
Devin Vassell,SAS,20.0,195.58,90.7184,Florida State,USA,2020,1,11,62,5.5,2.8,0.9,-2.4,0.021,0.138,0.138,0.524,0.071,2020-21,0
Bam Adebayo,MIA,23.0,205.74,115.66596,Kentucky,USA,2017,1,14,64,18.7,9.0,5.4,0.6,0.07,0.204,0.233,0.626,0.267,2020-21,1
Devin Booker,PHX,24.0,195.58,93.439952,Kentucky,USA,2015,1,13,67,25.6,4.2,4.3,7.2,0.016,0.108,0.319,0.5870000000000001,0.2,2020-21,1
Ben McLemore,LAL,28.0,190.5,88.45044,Kansas,USA,2013,1,7,53,7.7,1.9,0.7,-4.2,0.015,0.091,0.192,0.523,0.064,2020-21,0
Ben Simmons,PHI,24.0,210.82,108.86208,Louisiana State,Australia,2016,1,1,58,14.3,7.2,6.9,8.0,0.051,0.166,0.2,0.584,0.308,2020-21,1
Bismack Biyombo,CHA,28.0,203.2,115.66596,International,DRC,2011,1,7,66,5.0,5.3,1.2,-8.9,0.094,0.15,0.113,0.574,0.087,2020-21,2
Blake Griffin,BKN,32.0,205.74,113.398,Oklahoma,USA,2009,1,1,46,11.0,4.9,3.0,2.1,0.0289999999999999,0.159,0.191,0.546,0.171,2020-21,3
Boban Marjanovic,DAL,32.0,223.52,131.54168,International,Serbia,Undrafted,Undrafted,Undrafted,33,4.7,3.9,0.3,5.9,0.159,0.291,0.231,0.562,0.06,2020-21,2
Bobby Portis,MIL,26.0,208.28,113.398,Arkansas,USA,2015,1,22,66,11.4,7.1,1.1,5.1,0.085,0.2289999999999999,0.2019999999999999,0.598,0.075,2020-21,2
Bogdan Bogdanovic,ATL,28.0,198.12,99.79024,International,Serbia,2014,1,27,44,16.4,3.6,3.3,3.9,0.016,0.104,0.21,0.616,0.1689999999999999,2020-21,3
Bojan Bogdanovic,UTA,32.0,200.66,102.511792,International,Croatia,2011,2,31,72,17.0,3.9,1.9,9.5,0.018,0.099,0.225,0.588,0.091,2020-21,3
Bol Bol,DEN,21.0,218.44,99.79024,Oregon,Sudan,2019,2,44,32,2.2,0.8,0.2,-24.9,0.0,0.154,0.191,0.534,0.067,2020-21,0
Brad Wanamaker,CHA,31.0,190.5,95.25432,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,61,5.5,1.7,2.9,-5.7,0.016,0.08,0.166,0.489,0.251,2020-21,3
Bradley Beal,WAS,28.0,190.5,93.893544,Florida,USA,2012,1,3,60,31.3,4.7,4.4,-0.4,0.033,0.094,0.331,0.593,0.2019999999999999,2020-21,1
Brandon Clarke,MEM,24.0,203.2,97.52228,Gonzaga,Canada,2019,1,21,59,10.3,5.6,1.6,0.2,0.064,0.16,0.1669999999999999,0.56,0.094,2020-21,2
Avery Bradley,HOU,30.0,190.5,81.64656,Texas-Austin,USA,2010,1,19,27,6.4,2.1,1.7,-10.2,0.013,0.078,0.146,0.487,0.108,2020-21,0
Brandon Goodwin,ATL,25.0,182.88,81.64656,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,47,4.9,1.5,2.0,-4.4,0.012,0.0969999999999999,0.19,0.471,0.246,2020-21,3
Brodric Thomas,CLE,24.0,195.58,83.91452,Truman State,USA,Undrafted,Undrafted,Undrafted,32,3.9,1.7,0.9,-4.5,0.019,0.107,0.158,0.487,0.115,2020-21,0
Brook Lopez,MIL,33.0,213.36,127.912944,Stanford,USA,2008,1,10,70,12.3,5.0,0.7,6.8,0.054,0.115,0.166,0.611,0.033,2020-21,0
Bruce Brown,BKN,24.0,193.04,91.625584,Miami,USA,2018,2,42,65,8.8,5.4,1.6,3.5,0.081,0.154,0.157,0.604,0.099,2020-21,2
Bruno Fernando,ATL,22.0,205.74,108.86208,Maryland,Angola,2019,2,34,33,1.5,2.4,0.3,-6.0,0.066,0.256,0.133,0.475,0.069,2020-21,0
